airline,date_of_journey,source,destination,dep_time,arrival_time,duration,price,class,additional_info,stops
Air India,2023-01-01,Delhi,Mumbai,05:30,07:45,2h 15m,5000,Economy,Meals included,0
IndiGo,2023-01-02,Mumbai,Bangalore,08:15,10:00,1h 45m,3500,Economy,Snacks included,0
Vistara,2023-01-03,Chennai,Kolkata,12:00,14:30,2h 30m,4200,Business,Priority boarding,0
Air India,2023-01-04,Kolkata,Hyderabad,16:45,19:00,2h 15m,3800,Economy,Meals included,0
IndiGo,2023-01-05,Hyderabad,Delhi,21:20,23:35,2h 15m,4500,Economy,Snacks included,0
SpiceJet,2023-01-06,Bangalore,Chennai,09:30,11:15,1h 45m,3200,Economy,Meals included,0
GoAir,2023-01-07,Delhi,Kolkata,06:00,08:20,2h 20m,4000,Economy,Snacks included,0
Air India,2023-01-08,Mumbai,Hyderabad,13:45,15:45,2h 0m,3600,Economy,Meals included,0
IndiGo,2023-01-09,Delhi,Bangalore,17:30,20:15,2h 45m,5200,Economy,Snacks included,1
Vistara,2023-01-10,Chennai,Mumbai,22:10,00:25+1,2h 15m,4800,Business,Priority boarding,0
